Symbol
ACC
ADANIENT
ADANIPORTS
ALKEM
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
ATUL
AUBANK
AUROPHARMA
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BALKRISIND
BALRAMCHIN
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CANBK
CANFINHOME
CHAMBLFERT
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUB
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBNK
GAIL
GLENMARK
GMRINFRA
GNFC
GODREJCP
GODREJPROP
GRANULES
GRASIM
GSPL
GUJGASLTD
HAL
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HONAUT
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
IDEA
IDFCFIRSTB
IEX
IGL
INDHOTEL
INDIACEM
INDIAMART
INDIGO
INDUSINDBK
INDUSTOWER
INFY
INTELLECT
IOC
IPCALAB
IRCTC
ITC
JINDALSTEL
JKCEMENT
JSWSTEEL
JUBLFOOD
KOTAKBANK
L&TFH
LALPATHLAB
LAURUSLABS
LICHSGFIN
LT
LTI
LTTS
LUPIN
M&M
M&MFIN
MANAPPURAM
MARICO
MARUTI
MCX
METROPOLIS
MFSL
MGL
MINDTREE
MOTHERSUMI
MPHASIS
MRF
MUTHOOTFIN
NAM-INDIA
NATIONALUM
NAUKRI
NAVINFLUOR
NESTLEIND
NMDC
NTPC
OBEROIRLTY
OFSS
ONGC
PAGEIND
PEL
PERSISTENT
PETRONET
PFC
PIDILITIND
PIIND
PNB
POLYCAB
POWERGRID
PVR
RAMCOCEM
RBLBANK
RECLTD
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SIEMENS
SRF
SRTRANSFIN
SUNPHARMA
SUNTV
SYNGENE
TATACHEM
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TRENT
TVSMOTOR
UBL
ULTRACEMCO
UPL
VEDL
VOLTAS
WHIRLPOOL
WIPRO
ZEEL
