Symbol
RELIANCE
HDFCBANK
ICICIBANK
INFY
SBIN
AXISBANK
TCS
LT
KOTAKBANK
ITC
WIPRO
HCLTECH
HINDUNILVR
ADANIENT
ADANIPORTS
TECHM
TITAN
BPCL
ULTRACEMCO
GRASIM
ONGC
COALINDIA
BAJAJFINSV
BAJFINANCE
ASIANPAINT
SUNPHARMA
CIPLA
DIVISLAB
POWERGRID
NTPC
JSWSTEEL
TATASTEEL
HINDALCO
VEDL
EICHERMOT
HEROMOTOCO
BAJAJ-AUTO
MARUTI
M&M
TVSMOTOR
BRITANNIA
DABUR
NESTLEIND
UBL
GODREJCP
PIDILITIND
DRREDDY
APOLLOHOSP
ICICIPRULI
HDFCLIFE
SBILIFE
BANKBARODA
PNB
CANBK
IDFCFIRSTB
INDUSINDBK
FEDERALBNK
AUBANK
CHOLAFIN
SHRIRAMFIN
L&TFH
IRCTC
NAUKRI
ZOMATO
PAYTM
POLYCAB
BHEL
BEL
HAL
IRFC
CONCOR
INDIGO
TATACOMM
TATAPOWER
ADANIGREEN
ADANITRANS
IEX
MCX
NMDC
PETRONET
RECLTD
PFC
SAIL
TORNTPHARM
BIOCON
AMBUJACEM
ACC
RAMCOCEM
INDHOTEL
TRENT
PERSISTENT
LTTS
LTIM
COFORGE
